repo_id,seq_index,sha,author_time_iso,minutes_since_prev_commit,minutes_since_t0,insertions,deletions,files_changed,is_merge,is_before_t0,is_during_event,is_after_t1,flag_bulk_commit,subject
jeid12-kscart,0,ce9b943096fce604cd4ee993f343635be0bad27f,2026-07-05T10:35:05+00:00,,275.08,4788,0,41,0,0,1,0,1,Initial commit: KasiCart MVP
jeid12-kscart,1,467bb567f44502cfbaec79898b5562f3a5c935ac,2026-07-05T10:39:16+00:00,4.18,279.27,73,1,3,0,0,1,0,0,Add Render blueprint and deployment docs
jeid12-kscart,2,0ddc22d8229692f52aeaab5969073c81602e5c37,2026-07-05T10:52:40+00:00,13.40,292.67,20,2,2,0,0,1,0,0,"Harden CORS: normalize origins, handle preflight, support wildcard"
jeid12-kscart,3,ed92efc15541415a77a322c76554de7444e4eb35,2026-07-05T11:12:42+00:00,20.03,312.70,226,25,5,0,0,1,0,0,Add buyer details at checkout and vendor-friendly WhatsApp order template
jeid12-kscart,4,8e35ecbae330cc22726dd1b389cf6e30176a8637,2026-07-05T11:29:46+00:00,17.07,329.77,846,15,15,0,0,1,0,0,Add vendor order log and sales analytics
jeid12-kscart,5,a3efe246e39791b39b8467d3ec521956b9b70722,2026-07-05T11:50:31+00:00,20.75,350.52,415,52,12,0,0,1,0,0,Add item categories and order fulfillment status + notes
jeid12-kscart,6,494438f1c53c015986f4d1ae22253d1994c5ca22,2026-07-05T12:51:04+00:00,60.55,411.07,111,10,5,0,0,1,0,0,Make layout fully responsive across all screen sizes
